Entity,Code,Year,gdp_per_capita,tertiary_education,youth_unemployment,life_expectancy
Albania,ALB,2023,19487.71,64.72935,25.41,79.6019
Algeria,DZA,2023,15159.324,55.53202,29.995,76.261
Angola,AGO,2023,8788.261,10.04936,26.834,64.617
Armenia,ARM,2023,19402.752,56.27701,26.736,75.6827
Australia,AUS,2023,60684.96,104.64835,8.388,83.9228
Austria,AUT,2023,64536.297,91.68182,10.98,81.9559
Azerbaijan,AZE,2023,21310.738,41.39076,13.581,74.4286
Bahrain,BHR,2023,57819.906,57.05622,5.381,81.2835
Bangladesh,BGD,2023,8242.398,24.200344,7.905,74.6723
Belarus,BLR,2023,27782.438,72.82502,10.596,74.4339
Belize,BLZ,2023,12371.009,22.37341,17.833,73.5656
Bhutan,BTN,2023,14610.296,15.0075,14.939,72.9753
Bosnia and Herzegovina,BIH,2023,18844.465,45.50276,27.27,77.8504
Botswana,BWA,2023,18932.48,20.565823,44.361,69.1631
Brunei,BRN,2023,76616.7,36.418274,17.955,75.3266
Bulgaria,BGR,2023,31469.861,79.85323,12.049,75.6363
Burkina Faso,BFA,2023,2486.2068,10.10788,6.569,61.092
Burundi,BDI,2023,1036.1671,6.02546,1.7,63.6511
Cambodia,KHM,2023,6695.292,17.436235,0.703,70.6675
Cameroon,CMR,2023,4875.251,16.04044,6.621,63.6996
Chile,CHL,2023,29563.678,104.73406,21.973,81.1667
China,CHN,2023,22687.076,74.5933,15.562,77.9529
Congo,COG,2023,6172.2876,10.38121,40.717,65.772
Cote d'Ivoire,CIV,2023,6520.899,11.57243,4.243,61.9438
Denmark,DNK,2023,69379.22,81.23082,11.499,81.9328
East Timor,TLS,2023,4331.078,30.961111,3.198,67.6894
Egypt,EGY,2023,16691.387,37.90056,17.153,71.6335
El Salvador,SLV,2023,11424.6455,32.38026,7.031,72.0993
Estonia,EST,2023,41288.617,67.61793,17.207,79.1535
Fiji,FJI,2023,13194.805,60.967907,15.296,67.3157
Finland,FIN,2023,56250.88,108.13041,16.106,81.9102
Georgia,GEO,2023,22590.53,78.26522,29.931,74.4965
Germany,DEU,2023,63039.37,76.31568,6.02,81.3777
Ghana,GHA,2023,6808.5376,22.09583,5.352,65.4979
Guatemala,GTM,2023,12384.948,27.29489,4.326,72.6023
Honduras,HND,2023,6467.88,22.472614,10.478,72.8842
Hong Kong,HKG,2023,64434.56,100.46108,8.973,85.5106
Hungary,HUN,2023,40333.254,56.59244,12.779,77.024
India,IND,2023,9301.756,34.239433,15.595,72.0026
Indonesia,IDN,2023,13889.975,44.8813,13.015,71.1457
Italy,ITA,2023,52870.324,75.94965,22.727,83.7157
Jordan,JOR,2023,9381.3545,33.0567,38.837,77.8145
Kazakhstan,KAZ,2023,34703.234,54.6564,3.814,74.4021
Kyrgyzstan,KGZ,2023,6575.7754,53.58882,8.451,71.677
Laos,LAO,2023,8372.156,14.88417,2.176,68.9637
Latvia,LVA,2023,37277.723,85.73606,12.323,76.1898
Lebanon,LBN,2023,11330.269,54.40126,22.744,77.817
Macao,MAC,2023,104815.2,129.15105,6.557,83.0749
Madagascar,MDG,2023,1629.4609,6.14666,5.43,63.6317
Malaysia,MYS,2023,32857.668,37.274582,12.146,76.6571
Malta,MLT,2023,57488.105,80.52501,9.323,83.2989
Mongolia,MNG,2023,16222.864,67.9414,11.605,71.7341
Montenegro,MNE,2023,25922.184,55.1743,23.335,77.0869
Morocco,MAR,2023,8915.352,47.4687,21.974,75.3128
Nepal,NPL,2023,4861.2305,19.03576,20.43,70.3537
New Zealand,NZL,2023,49508.27,76.38114,10.714,82.088
Nicaragua,NIC,2023,7496.5293,30.36351,9.203,74.9468
Norway,NOR,2023,90085.44,95.05738,10.975,83.3078
Pakistan,PAK,2023,5418.7695,11.2245,9.423,67.649
Philippines,PHL,2023,9898.533,44.23942,6.912,69.8327
Poland,POL,2023,43672.766,76.87941,11.176,78.6329
Puerto Rico,PRI,2023,42837.9,77.92636,13.178,81.6902
Romania,ROU,2023,38171.207,55.16829,21.701,75.9381
Russia,RUS,2023,39887.34,93.72777,11.147,73.1541
Rwanda,RWA,2023,3062.999,8.88624,18.172,67.7852
Saint Lucia,LCA,2023,23403.744,15.03964,30.261,72.6968
Samoa,WSM,2023,7383.7456,14.61066,12.9,71.6982
Senegal,SEN,2023,4304.7617,16.07101,3.859,68.6829
Serbia,SRB,2023,24487.047,73.206,24.129,76.7693
Slovakia,SVK,2023,39518.223,53.41761,19.867,78.3414
Slovenia,SVN,2023,47977.426,80.08069,9.948,81.6034
Spain,ESP,2023,47322.594,93.73035,28.747,83.6703
Sri Lanka,LKA,2023,13024.94,26.411993,20.342,77.4828
Sweden,SWE,2023,62662.766,81.39982,21.941,83.2624
Switzerland,CHE,2023,82295.3,74.00609,7.865,83.9536
Tajikistan,TJK,2023,4472.324,34.968964,14.511,71.7901
Tanzania,TZA,2023,3620.7935,5.168878,2.339,66.9953
Thailand,THA,2023,21191.453,46.17521,4.491,76.4115
Tonga,TON,2023,7030.419,51.21951,4.632,72.8947
Tunisia,TUN,2023,12650.962,38.12195,38.484,76.5077
Turkmenistan,TKM,2023,17866.404,18.80842,9.198,70.0727
United Arab Emirates,ARE,2023,70239.85,61.34561,6.351,82.9091
Uzbekistan,UZB,2023,10007.686,45.75918,10.762,72.3884
World,OWID_WRL,2023,20908.848,43.27223,13.365003,73.1694
