Entity,Code,Year,gdp_per_capita,youth_unemployment
Albania,ALB,2024,20591.486,25.582
Algeria,DZA,2024,15501.92,29.884
Angola,AGO,2024,8901.888,26.74
Argentina,ARG,2024,26771.965,19.228
Armenia,ARM,2024,20078.785,26.659
Australia,AUS,2024,60303.98,9.408
Austria,AUT,2024,63788.08,10.428
Azerbaijan,AZE,2024,22072.148,13.544
Bahamas,BHS,2024,36244.05,18.291
Bahrain,BHR,2024,58891.832,5.469
Bangladesh,BGD,2024,8486.785,9.097
Barbados,BRB,2024,21837.725,18.049
Belarus,BLR,2024,29040.973,10.538
Belgium,BEL,2024,63347.785,17.343
Belize,BLZ,2024,12621.408,18.553
Benin,BEN,2024,3901.326,3.089
Bolivia,BOL,2024,11329.151,5.17
Bosnia and Herzegovina,BIH,2024,19532.107,27.334
Botswana,BWA,2024,18068.506,45.296
Brazil,BRA,2024,19652.365,15.674
Brunei,BRN,2024,79071.734,17.872
Bulgaria,BGR,2024,32561.914,12.493
Burkina Faso,BFA,2024,2547.6724,6.525
Burundi,BDI,2024,1051.2593,1.695
Cambodia,KHM,2024,7008.889,0.704
Cameroon,CMR,2024,4916.9336,6.618
Canada,CAN,2024,56706.824,13.276
Cape Verde,CPV,2024,9848.953,28.1
Central African Republic,CAF,2024,1111.2194,9.991
Chad,TCD,2024,2412.866,1.452
Chile,CHL,2024,30182.787,20.988
China,CHN,2024,23845.62,15.044
Colombia,COL,2024,18477.215,19.411
Comoros,COM,2024,3482.535,8.814
Congo,COG,2024,6181.4707,40.581
Costa Rica,CRI,2024,26973.436,20.481
Cote d'Ivoire,CIV,2024,6747.038,4.249
Croatia,HRV,2024,40751.957,16.479
Cyprus,CYP,2024,50082.72,12.857
Czechia,CZE,2024,47963.9,9.2
Democratic Republic of Congo,COD,2024,1602.075,7.951
Denmark,DNK,2024,71431.29,11.786
Djibouti,DJI,2024,6871.1245,76.494
Dominican Republic,DOM,2024,24229.889,12.872
East Asia and Pacific (WB),WB_EAP,2024,24015.938,12.166605
East Timor,TLS,2024,3890.9575,3.22
Ecuador,ECU,2024,13935.539,8.574
Egypt,EGY,2024,16798.152,17.291
El Salvador,SLV,2024,11669.082,7.507
Equatorial Guinea,GNQ,2024,15454.429,15.556
Estonia,EST,2024,41189.668,19.256
Eswatini,SWZ,2024,10380.396,54.37
Ethiopia,ETH,2024,2892.2222,5.449
Europe and Central Asia (WB),WB_ECA,2024,44736.703,14.114724
European Union (27),OWID_EU27,2024,54203.85,16.239185
Fiji,FJI,2024,13592.464,15.133
Finland,FIN,2024,56123.15,18.68
France,FRA,2024,54799.348,18.603
Gabon,GAB,2024,18923.662,36.283
Gambia,GMB,2024,3057.684,10.83
Georgia,GEO,2024,24883.908,29.863
Germany,DEU,2024,62554.555,6.604
Ghana,GHA,2024,7055.625,5.347
Greece,GRC,2024,37474.28,22.375
Guatemala,GTM,2024,12640.888,4.624
Guinea,GIN,2024,4016.3418,7.068
Guinea-Bissau,GNB,2024,2744.2798,2.826
Guyana,GUY,2024,70516.72,24.742
