Entity,Code,Year,gdp_per_capita,tertiary_education,youth_unemployment,life_expectancy
Afghanistan,AFG,2023,1983.8126,,17.494,66.0346
Albania,ALB,2023,19487.71,64.72935,25.41,79.6019
Algeria,DZA,2023,15159.324,55.53202,29.995,76.261
American Samoa,ASM,2023,,,,72.8518
Andorra,AND,2023,64631.297,62.41069,,84.0406
Angola,AGO,2023,8788.261,10.04936,26.834,64.617
Anguilla,AIA,2023,,,,79.3115
Antigua and Barbuda,ATG,2023,28474.045,,,77.5976
Argentina,ARG,2023,27230.396,,17.946,77.3947
Armenia,ARM,2023,19402.752,56.27701,26.736,75.6827
Aruba,ABW,2023,41964.77,,,76.353
Australia,AUS,2023,60684.96,104.64835,8.388,83.9228
Austria,AUT,2023,64536.297,91.68182,10.98,81.9559
Azerbaijan,AZE,2023,21310.738,41.39076,13.581,74.4286
Bahamas,BHS,2023,35221.27,,17.696,74.5518
Bahrain,BHR,2023,57819.906,57.05622,5.381,81.2835
Bangladesh,BGD,2023,8242.398,24.200344,7.905,74.6723
Barbados,BRB,2023,21318.672,,18.264,76.1782
Belarus,BLR,2023,27782.438,72.82502,10.596,74.4339
Belgium,BEL,2023,63095.402,,16.119,82.115
Belize,BLZ,2023,12371.009,22.37341,17.833,73.5656
Benin,BEN,2023,3721.2126,,3.09,60.7738
Bermuda,BMU,2023,103052.35,17.33571,,82.3089
Bhutan,BTN,2023,14610.296,15.0075,14.939,72.9753
Bolivia,BOL,2023,11616.157,,4.968,68.5814
Bonaire Sint Eustatius and Saba,BES,2023,,,,77.4355
Bosnia and Herzegovina,BIH,2023,18844.465,45.50276,27.27,77.8504
Botswana,BWA,2023,18932.48,20.565823,44.361,69.1631
Brazil,BRA,2023,19079.812,,17.938,75.8482
British Virgin Islands,VGB,2023,,26.64931,,77.2758
Brunei,BRN,2023,76616.7,36.418274,17.955,75.3266
Bulgaria,BGR,2023,31469.861,79.85323,12.049,75.6363
Burkina Faso,BFA,2023,2486.2068,10.10788,6.569,61.092
Burundi,BDI,2023,1036.1671,6.02546,1.7,63.6511
Cambodia,KHM,2023,6695.292,17.436235,0.703,70.6675
Cameroon,CMR,2023,4875.251,16.04044,6.621,63.6996
Canada,CAN,2023,57517.44,,10.806,82.6302
